Name = Untitled
Mach = 0.3; Re = 1000000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 0; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
α	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
-14.0	-0.170	0.09906	0.011	0.960	0.004	1.000	0.082	-1.715	0.112	0.315
-13.0	-0.163	0.07074	0.013	0.949	0.004	1.000	0.214	-2.307	-0.221	0.327
-12.0	-0.163	0.03410	0.014	0.937	0.005	1.000	0.565	-4.793	-0.133	0.336
-11.0	-0.159	0.02005	0.014	0.921	0.006	1.000	0.841	-7.938	0.312	0.338
-10.0	-0.148	0.01651	0.013	0.902	0.007	1.000	0.940	-8.955	0.335	0.339
-9.0	-0.134	0.01464	0.012	0.879	0.009	1.000	0.977	-9.171	0.337	0.339
-8.0	-0.120	0.00928	0.011	0.849	0.012	1.000	1.000	-12.932	0.338	0.339
-7.0	-0.105	0.00862	0.009	0.811	0.017	1.000	1.000	-12.203	0.338	0.339
-6.0	-0.090	0.00814	0.008	0.764	0.025	1.000	1.000	-11.084	0.339	0.340
-5.0	-0.075	0.00766	0.007	0.707	0.052	1.000	1.000	-9.825	0.339	0.340
-4.0	-0.060	0.00718	0.005	0.641	0.110	1.000	1.000	-8.392	0.339	0.340
-3.0	-0.045	0.00682	0.004	0.573	0.180	1.000	1.000	-6.626	0.340	0.340
-2.0	-0.030	0.00662	0.003	0.504	0.246	1.000	1.000	-4.555	0.340	0.340
-1.0	-0.015	0.00653	0.001	0.438	0.310	1.000	1.000	-2.307	0.340	0.340
0.0	0.000	0.00643	-0.000	0.374	0.374	1.000	1.000	0.000	0.340	0.250
1.0	0.015	0.00646	-0.001	0.311	0.438	1.000	1.000	2.332	0.340	0.340
2.0	0.030	0.00664	-0.003	0.246	0.504	1.000	1.000	4.542	0.340	0.340
3.0	0.045	0.00682	-0.004	0.180	0.573	1.000	1.000	6.626	0.340	0.340
4.0	0.060	0.00716	-0.005	0.110	0.641	1.000	1.000	8.408	0.339	0.340
5.0	0.075	0.00765	-0.007	0.053	0.707	1.000	1.000	9.838	0.339	0.340
6.0	0.090	0.00815	-0.008	0.025	0.764	1.000	1.000	11.073	0.339	0.340
7.0	0.105	0.00862	-0.009	0.017	0.811	1.000	1.000	12.190	0.338	0.339
8.0	0.120	0.00927	-0.011	0.012	0.849	1.000	1.000	12.941	0.338	0.339
